Average Taxable Income $,Gender Rank,Gender,Individuals,Number of Records,Occupation
"$51,831",486,Female,2006,1,Conveyancer
"$51,795",487,Female,301,1,Osteopath
"$51,794",488,Female,478,1,Migration agent
"$51,789",489,Female,31,1,Weaver
"$51,702",490,Female,4120,1,Interior designer
"$51,681",491,Female,614,1,Actuarial clerk; Statistical clerk Clerical and office
"$51,662",492,Female,667,1,Distance education teacher; Migrant teacher
"$51,614",493,Female,204,1,IT hardware technician
"$51,438",494,Female,362,1,Audio engineer; Editor – sound; Sound engineer or technician
"$51,379",495,Female,4453,1,Company rep. – insurance; Insurance agent or salesperson; Life assurance representative; Retail assistant – insurance; Sales assistant – insurance
"$51,378",496,Female,350,1,Genetic counsellor
"$51,306",497,Female,4854,1,IT customer support officer; IT help desk officer
"$51,259",498,Female,553,1,Web journalist
"$51,211",499,Female,763,1,Interior decorator
"$51,118",500,Female,34137,1,Office secretary or stenographer; Stenographer
"$50,945",501,Female,345,1,Electrical engineering technician; Electrical tester; Electronics tester
"$50,883",502,Female,101,1,Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser
"$50,857",503,Female,1116,1,Consultant – recruitment
"$50,831",504,Female,242,1,Electronic instrument fitter or technician
"$50,691",505,Female,70,1,"Grain, oilseed or pasture grower"
"$50,638",506,Female,4801,1,Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher
"$50,602",507,Female,44,1,Flying instructor
"$50,496",508,Female,652,1,Copywriter
"$50,478",509,Female,101,1,Glass plant hand or labourer
"$50,467",510,Female,258,1,Welder
"$50,442",511,Female,6777,1,Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists
"$50,361",512,Female,42,1,Office machine mechanic
"$50,353",513,Female,1228,1,Production tally or scheduling clerk; Traffic controller – television or radio
"$50,246",514,Female,626,1,Ecologist – animal; Zoologist
"$50,119",515,Female,590,1,Sports centre manager
"$50,075",516,Female,558,1,Clinical coder
"$50,074",517,Female,4147,1,Registered nurse – medical practice
"$50,056",518,Female,189,1,Private detective; Private investigator
"$50,048",519,Female,1902,1,Earth science technician; Soil technician
"$49,998",520,Female,487,1,Casino worker – surveillance officer; Security guard – other security officer or guard
"$49,975",521,Female,125,1,Glass machine operator; Glassware maker
"$49,922",522,Female,1890,1,Medical technician – other
"$49,801",523,Female,100,1,Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer
"$49,765",524,Female,1329,1,"Production assistant – film, television, radio or stage"
"$49,735",525,Female,269,1,Parking inspector
"$49,711",526,Female,1518,1,Facilities administrator
"$49,699",527,Female,872,1,Compositor; Desktop publisher; Graphic reproduction tradesperson; Plate maker – newspaper/ printing; Ticket writer; Typesetter
"$49,659",528,Female,3091,1,Chemistry technician
"$49,474",529,Female,8254,1,Airline steward; Flight attendant or steward
"$49,439",530,Female,423,1,Psychotherapist
"$49,436",531,Female,2596,1,Health promotion officer
"$49,417",532,Female,290,1,Business broker; Retail assistant – business broker; Salesperson – business broker
"$49,413",533,Female,5299,1,Records administrator
"$49,275",534,Female,106,1,Meat inspector
"$49,195",535,Female,3838,1,Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood
"$49,168",536,Female,32055,1,Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re
"$49,129",537,Female,56,1,Composer
"$49,080",538,Female,18088,1,Real estate property manager
"$48,968",539,Female,6,1,Lift mechanic
"$48,945",540,Female,54,1,Cement plant hand or labourer
"$48,942",541,Female,9,1,Streetsweeper operator
"$48,929",542,Female,68,1,Dental prosthetist
"$48,834",543,Female,214,1,Poultry farmer or farm overseer
"$48,698",544,Female,57,1,Technical cable jointer
"$48,653",545,Female,20,1,Surfer
"$48,576",546,Female,730,1,Education reviewer
"$48,511",547,Female,1175,1,Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft
"$48,477",548,Female,46,1,Director of photography
"$48,468",549,Female,38,1,Steel fixer
"$48,465",550,Female,555,1,Clothing pattern maker; Patternmaker-grader – textiles
"$48,445",551,Female,1038,1,Forklift driver
"$48,432",552,Female,78,1,Body builder – fitness; Sportsperson – other Office managers and
"$48,424",553,Female,6839,1,Conference and event organiser; Functions coordinator
"$48,419",554,Female,538,1,Hostel manager; Lodge manager
"$48,324",555,Female,64,1,Spray painter – industrial
"$48,311",556,Female,393,1,"Security guard – security, alarm or surveillance monitor"
"$48,295",557,Female,5109,1,Night watchperson; Railway employee – patrol officer; Security guard; Security officer
"$48,229",558,Female,109,1,Electrical lines worker
"$48,151",559,Female,3020,1,Architectural draftsperson; Building designer
"$48,068",560,Female,163,1,Brewery worker
"$47,892",561,Female,8639,1,Law clerk; Legal and related clerks
"$47,867",562,Female,399,1,Product examiner
"$47,827",563,Female,34,1,Panel beater
"$47,743",564,Female,13040,1,Medical administrator
"$47,535",565,Female,114,1,Arborist; Tree surgeon
"$47,529",566,Female,26782,1,Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2
"$47,519",567,Female,57577,1,Client service manager; Customer service manager
"$47,479",568,Female,4312,1,Welfare officer
"$47,441",569,Female,286,1,Stage manager
"$47,431",570,Female,39,1,Plastics fabricator or welder
"$47,355",571,Female,28,1,Motor vehicle body builder
"$47,354",572,Female,481,1,Apprentice or trainee – electrician
"$47,333",573,Female,15424,1,Legal secretary General clerical workers
"$47,277",574,Female,1033,1,Ceramics scientist; Exercise physiologist; Polymer scientist; Sports scientist
"$47,246",575,Female,54,1,Basketballer
"$47,189",576,Female,19328,1,Governess – teaching (pre-primary); Kindergarten teacher; Pre-school teacher
"$47,153",577,Female,81718,1,Accounts clerk; Finance officer
"$47,151",578,Female,420,1,Sports development officer
"$47,126",579,Female,6,1,Crane chaser
"$47,098",580,Female,51,1,Air conditioning mechanic; Refrigeration mechanic
"$47,094",581,Female,82,1,Grader operator
"$47,094",582,Female,33,1,"Drainage, sewerage and stormwater labourer"
"$47,046",583,Female,13436,1,Commercial artist; Graphic designer
"$46,996",584,Female,768,1,Electorate officer
"$46,933",585,Female,246,1,Boilermaker; Fabricator – door or window – metal; Metal fabricator
"$46,912",586,Female,295,1,Optical mechanic
"$46,895",587,Female,10,1,Roof tiler
"$46,879",588,Female,3527,1,Counsellor – other
"$46,878",589,Female,901,1,Confectioner
"$46,786",590,Female,1085,1,Glass blower; Hide or skin classer; Model maker – architectural
"$46,767",591,Female,43,1,Motor vehicle licence inspector
"$46,750",592,Female,323,1,Drama teacher – private
"$46,699",593,Female,188,1,Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail
"$46,693",594,Female,26526,1,Clerk – other; Coding clerk; Exam supervisor
"$46,631",595,Female,240,1,Paving and surfacing labourer; Road maintenance worker
"$46,508",596,Female,134,1,Armoured car escort; Payroll guard
"$46,254",597,Female,28,1,Tyre fitter
"$46,230",598,Female,19,1,Tow truck driver
"$46,222",599,Female,2042,1,Student counsellor
"$46,180",600,Female,37,1,Fire protection equipment technician
"$46,178",601,Female,226,1,Dairy quality assurance inspector; Fruit and vegetable inspector
"$46,061",602,Female,94,1,Plumber – general
"$45,917",603,Female,1370,1,Consultant – travel
"$45,752",604,Female,798,1,Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist
"$45,356",605,Female,7345,1,Medical laboratory technician
"$45,284",606,Female,2756,1,English language teacher
"$45,248",607,Female,35447,1,Bookkeeper; Registrar – school
"$45,223",608,Female,2631,1,Postal sorting officer
"$45,112",609,Female,1059,1,Fitness centre manager
"$45,048",610,Female,125,1,Pest controller
"$45,047",611,Female,2632,1,ESL teacher; Teacher of English to speakers of other languages
"$45,031",612,Female,277,1,Jewellery designer
"$44,893",613,Female,8,1,Consultant – electronics engineer
"$44,876",614,Female,15796,1,Agent – travel; Travel agent or consultant
"$44,852",615,Female,448,1,Paper products machine operator; Paper products maker
"$44,835",616,Female,231,1,Court orderly
"$44,797",617,Female,1654,1,Sports administrator
"$44,797",618,Female,45,1,Noxious weeds and pest inspector; Pest and noxious weeds inspector
"$44,652",619,Female,7283,1,Employment office clerk; Human resource clerk; Personnel records clerk
"$44,537",620,Female,2442,1,Debt collector
"$44,375",621,Female,7,1,Apprentice or trainee – power generation plant operator
"$44,338",622,Female,47465,1,Retail store manager; Shop manager
"$44,313",623,Female,62,1,Motor vehicle accessories fitter
"$44,307",624,Female,5109,1,Library officer; Library technician
"$44,289",625,Female,671,1,Cinema manager; Theatre manager
"$44,237",626,Female,187,1,Metal machinist; Turner – metal
"$44,209",627,Female,97,1,Illustrator
"$44,203",628,Female,7,1,Fishing guide
"$44,181",629,Female,56,1,Auctioneer
"$44,156",630,Female,1511,1,Residential care officer
"$44,044",631,Female,234,1,Farmer or farm overseer – other crop; Tobacco grower
"$44,026",632,Female,504,1,Printing machinist
"$43,883",633,Female,164,1,"Camera operator – film, television or video; Motion picture camera operator"
"$43,789",634,Female,942,1,Dental mechanic or technician
"$43,778",635,Female,197,1,Amusement centre manager
"$43,748",636,Female,216,1,Farmer or farm overseer – other livestock
"$43,670",637,Female,38374,1,Registered nurse – aged care
"$43,610",638,Female,5,1,Concrete pump operator
"$43,604",639,Female,293738,1,Administration assistant; Office worker
"$43,593",640,Female,1827,1,Concierge – hotel; Hotel service manager
"$43,545",641,Female,1878,1,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker
"$43,526",642,Female,139,1,Sugar mill worker
"$43,460",643,Female,114,1,Apprentice or trainee – mechanical trades engineer
"$43,405",644,Female,975,1,Family and marriage counsellor
"$43,343",645,Female,1188,1,Caravan park manager
"$43,335",646,Female,213,1,Pig farmer or farm overseer
"$43,322",647,Female,11658,1,Manager – grocery – supermarket; Retail supervisor
"$43,270",648,Female,1280,1,Life science technician
"$43,252",649,Female,3,1,Blacksmith
"$43,243",650,Female,122,1,Coach driver; Passenger coach driver
"$43,213",651,Female,749,1,Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant
"$43,131",652,Female,536,1,Chemical plant hand or labourer; Gas or petroleum plant hand or labourer; Paint factory hand or labourer
"$43,105",653,Female,524,1,Funeral attendant
"$43,092",654,Female,601,1,Music researcher; Musician – other music professional
"$43,009",655,Female,64,1,Coppersmith; Sheetmetal trades worker
"$43,007",656,Female,400,1,Operating theatre technician
"$42,966",657,Female,839,1,Drug and alcohol counsellor
"$42,859",658,Female,4259,1,Bus driver
"$42,830",659,Female,412,1,Call centre operator – classified ads; Classified advertising clerk; Contact centre operator – classified ads
"$42,804",660,Female,144,1,Window dresser
"$42,801",661,Female,76,1,Concrete worker
"$42,786",662,Female,146,1,Grape grower; Viticulturist
"$42,766",663,Female,459,1,Earthmoving labourer; Grave digger; Labourer – digging
"$42,744",664,Female,22,1,Cricketer
"$42,694",665,Female,2363,1,Faults consultant – taking reports of faults; Inquiry clerk
"$42,623",666,Female,342,1,Furniture packer; Furniture removalist – driver; Removalist
"$42,602",667,Female,762,1,Gem cutter and polisher; Goldsmith; Jeweller; Silversmith
"$42,545",668,Female,204,1,Refuge worker
"$42,435",669,Female,5667,1,Admissions clerk
"$42,244",670,Female,6,1,Hunter-trapper; Shooter or trapper
"$42,228",671,Female,44,1,Apprentice or trainee – automotive electrician
"$42,025",672,Female,1041,1,Art teacher – private
"$41,988",673,Female,627,1,Zookeeper
"$41,950",674,Female,200,1,Jockey
"$41,936",675,Female,171,1,Lighting technician
"$41,931",676,Female,2794,1,Postal delivery officer
"$41,919",677,Female,59,1,Materials recycler; Motor vehicle wrecker; Scrap merchant
"$41,878",678,Female,503,1,Agricultural technician
"$41,748",679,Female,42,1,Plastic cablemaking machine operator
"$41,740",680,Female,2108,1,Retail assistant – motor vehicle parts and accessories; Sales representative – motor vehicle parts and accessories; Salesperson – motor vehicle parts and accessories
"$41,682",681,Female,26,1,Plastics technician
"$41,662",682,Female,278,1,Electrical trades assistant or labourer; Electrician’s assistant; Telecommunications trades assistant
"$41,642",683,Female,143,1,Gallery or museum technician; Gallery technician; Museum technician; Taxidermist
"$41,614",684,Female,12,1,Back hoe operator
"$41,562",685,Female,1489,1,Paper and pulp mill worker; Process worker – paper and pulp mill worker
"$41,472",686,Female,22,1,Die maker; Toolmaker
"$41,458",687,Female,1326,1,Cheesemaker; Dairy products maker
"$41,380",688,Female,24,1,Apprentice or trainee – transport and distribution driver
"$41,354",689,Female,7,1,Steel erector – structural
"$41,214",690,Female,1439,1,Tourist adviser or officer
"$41,203",691,Female,82,1,Sugar cane grower
"$41,155",692,Female,7,1,Electroplater
"$41,121",693,Female,30,1,Joiner; Wardrobe builder
"$41,088",694,Female,88,1,Locksmith
"$41,080",695,Female,307,1,Screen printer
"$40,956",696,Female,194,1,Product tester
"$40,945",697,Female,2332,1,Switchboard operator; Telephonist
"$40,931",698,Female,208,1,Retail loss prevention officer
"$40,926",699,Female,1386,1,Aboriginal and Torres Strait Islander education worker
"$40,912",700,Female,135,1,Small offset printer
"$40,875",701,Female,16,1,Metal polisher
"$40,865",702,Female,13107,1,Enrolled nurse; Student enrolled nurse
"$40,844",703,Female,55,1,Apprentice or trainee – information technology technician
"$40,826",704,Female,2534,1,Beauty salon manager; Hair salon manager
"$40,804",705,Female,8214,1,Youth worker
"$40,726",706,Female,127,1,Carpenter
"$40,703",707,Female,6255,1,Food processing machine operator
"$40,676",708,Female,1702,1,School laboratory technician
"$40,642",709,Female,34,1,Fibreglasser
"$40,618",710,Female,1815,1,Mail clerk
"$40,586",711,Female,135,1,Apprentice or trainee – justice and legal services
"$40,576",712,Female,34,1,Clock and watch maker and repairer
"$40,554",713,Female,336,1,Garage mechanic; Motor mechanic – petrol
"$40,514",714,Female,32,1,Saw operator – panel saw; Wood machinist
"$40,421",715,Female,79,1,Apprentice or trainee – jockey
"$40,348",716,Female,328,1,Signwriter
"$40,296",717,Female,2052,1,Poultry process worker
"$40,181",718,Female,617,1,Fettler; Iron worker; Metal worker
"$39,986",719,Female,188,1,Farmer or farm overseer – mixed livestock
"$39,940",720,Female,99,1,Plastic compounding and reclamation machine operator
"$39,883",721,Female,13,1,Apprentice or trainee – deck or fishing hand
"$39,850",722,Female,511,1,Beef cattle farmer or farm overseer
"$39,847",723,Female,6090,1,Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;
"$39,798",724,Female,22,1,Sailmaker
"$39,733",725,Female,223,1,Driving instructor
"$39,679",726,Female,17,1,Small engine mechanic
"$39,619",727,Female,4309,1,Gaming worker
"$39,589",728,Female,349,1,Stone processing machine operator
"$39,523",729,Female,386,1,Die setter – plastics; Model maker – plastic; Plastics press machine operator
"$39,454",730,Female,19043,1,Call centre operator – inbound calls; Call centre operator – other; Contact centre operator – inbound calls; Contact centre operator – other
"$39,387",731,Female,104,1,Fishing hand
"$39,347",732,Female,1478,1,Meat boner and slicer; Saw operator – meat
"$39,309",733,Female,23,1,Antique dealer
"$39,208",734,Female,226,1,Mothercraft nurse
"$39,073",735,Female,148,1,Sheep farmer or farm overseer
"$39,068",736,Female,264,1,Cabinet maker; Furniture maker
"$39,053",737,Female,257,1,Sawmill labourer; Timber yard worker
"$39,045",738,Female,4164,1,Pricing clerk; Stock clerk; Stores clerk
"$39,013",739,Female,35,1,Butler
"$38,982",740,Female,90,1,Telecommunications and data cabler
"$38,909",741,Female,26,1,Apprentice or trainee – electronics tradesperson
"$38,809",742,Female,3995,1,Apprentice or trainee – sales assistant (retail)
"$38,790",743,Female,10,1,Sand-blaster
"$38,782",744,Female,1265,1,Sterilisation technician
"$38,681",745,Female,3108,1,Music teacher – private
"$38,678",746,Female,25,1,Turf grower
"$38,656",747,Female,2812,1,Pharmacy technician
"$38,650",748,Female,28659,1,Café manager; Canteen manager; Caterer; Restaurant manager
"$38,600",749,Female,1146,1,Naturopath
"$38,588",750,Female,193,1,Wood processing machine operator – other
"$38,520",751,Female,16,1,Roof plumber
"$38,498",752,Female,49,1,Apprentice or trainee – metal fabrication engineer
"$38,469",753,Female,33,1,Plumber’s assistant
"$38,450",754,Female,2065,1,Family support worker
"$38,401",755,Female,57,1,Footwear production machine operator
"$38,388",756,Female,368,1,Opera singer; Singer; Vocalist
"$38,370",757,Female,242,1,Bedding and mattress maker; Furniture upholsterer; Upholsterer
"$38,260",758,Female,6435,1,Hospital orderly; Theatre attendant – medical; Ward assistant
"$38,254",759,Female,8495,1,Retail assistant – business services; Sales representative – business services; Salesperson – business services; Shop assistant – business services
"$38,171",760,Female,78,1,Chinese medicine practitioner
"$38,098",761,Female,9,1,Gymnast
"$38,096",762,Female,53,1,Apparel cutter
"$37,998",763,Female,1491,1,IT sales assistant
"$37,956",764,Female,9060,1,Data entry operator; Data processing operator; Keyboard operator
"$37,839",765,Female,830,1,Plastics plant hand or labourer
"$37,788",766,Female,106,1,Curtain installer; Installer – home improvements; Security door installer
"$37,683",767,Female,37,1,Tree faller
"$37,609",768,Female,513,1,Dairy cattle farmer or farm overseer
"$37,582",769,Female,99,1,Miller – timber; Sawmilling operator
"$37,467",770,Female,28,1,Roof truss detailer; Structural steel detailer
"$37,375",771,Female,76,1,"Textile, clothing and footwear mechanic"
"$37,348",772,Female,5707,1,Retail assistant – building and plumbing supplies; Sales representative – building and plumbing supplies; Salesperson – building and plumbing supplies; Shop assistant – building and plumbing supplies
"$37,282",773,Female,128239,1,Occupation not listed
"$37,281",774,Female,38305,1,Medical receptionist; Medical secretary
"$37,277",775,Female,562,1,Weighbridge operator
"$37,265",776,Female,197,1,Wood and wood products factory worker
"$37,189",777,Female,14072,1,Disabilities support officer
"$37,126",778,Female,302,1,Community arts worker
"$37,126",779,Female,6,1,Camera repairer
"$37,041",780,Female,127,1,Motor vehicle painter
"$36,813",781,Female,4906,1,Library assistant
"$36,804",782,Female,20384,1,Chef
"$36,800",783,Female,199,1,Slaughterer
"$36,799",784,Female,22421,1,Community support worker
"$36,736",785,Female,3635,1,Optical dispenser
"$36,685",786,Female,189,1,Surveyor’s assistant
"$36,659",787,Female,21854,1,Storeperson; Warehouse assistant
"$36,630",788,Female,867,1,Butcher; Smallgoods maker
"$36,587",789,Female,2512,1,Interpreter
"$36,553",790,Female,5,1,Gunsmith
"$36,545",791,Female,137,1,Garbage collector; Rubbish or recycling collector
"$36,513",792,Female,53,1,Canvas goods maker
"$36,508",793,Female,1016,1,Therapist – other complementary health
"$36,432",794,Female,70,1,Hide and skin processing machine operator
"$36,359",795,Female,5961,1,Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer
"$36,258",796,Female,3173,1,Road traffic controller
"$36,209",797,Female,142,1,Carpenter and joiner; Shop fitter
"$36,154",798,Female,168,1,Rubber factory hand or labourer
"$36,042",799,Female,2341,1,Baker
"$35,993",800,Female,8963,1,Veterinary nurse
"$35,944",801,Female,208,1,Acupuncturist
"$35,901",802,Female,787,1,Book binder; Print finisher
"$35,900",803,Female,24635,1,Dental assistant; Dental nurse
"$35,776",804,Female,1173,1,Recreation officer
"$35,759",805,Female,249,1,Textile dyeing and finishing machine operator
"$35,698",806,Female,868,1,Translator
"$35,684",807,Female,794,1,Landscape gardener
"$35,620",808,Female,2305,1,Horticulturist – nursery; Nurseryperson
"$35,468",809,Female,908,1,Printer’s assistant; Printer’s hand
"$35,453",810,Female,56,1,Athlete
"$35,437",811,Female,36,1,Hat maker; Milliner
"$35,424",812,Female,11741,1,Assembler; Assembly line worker
"$35,311",813,Female,38,1,Telecommunications lines worker
"$35,198",814,Female,144,1,Consultant – weight loss
"$35,141",815,Female,3,1,Apprentice or trainee – canvas and leather tradesperson
"$35,054",816,Female,37,1,Apiarist
"$34,994",817,Female,48,1,Bookmaker
"$34,941",818,Female,217,1,First aid trainer
"$34,940",819,Female,2028,1,Child or youth residential care assistant
"$34,938",820,Female,27,1,Swimmer
"$34,924",821,Female,111,1,Horse breeder
"$34,903",822,Female,2002,1,Baking factory worker
"$34,880",823,Female,757,1,Apprentice or trainee – clerical services
"$34,799",824,Female,79,1,Engraver
"$34,770",825,Female,2757,1,Gardener – general; Horticulturist – general gardening
"$34,750",826,Female,1770,1,Costume maker; Dressmaker; Tailor; Wardrobe coordinator or assistant
"$34,736",827,Female,2670,1,Actor
"$34,608",828,Female,31,1,Boat builder or repairer; Rigger – boat
"$34,581",829,Female,4358,1,Meat packer
"$34,581",830,Female,142,1,Recycling worker
"$34,574",831,Female,2133,1,Courier; Messenger
"$34,571",832,Female,65,1,Truck driver’s offsider
"$34,524",833,Female,23391,1,Nursing assistant or aide
"$34,510",834,Female,436,1,Market gardener – vegetables; Vegetable grower
"$34,493",835,Female,2017,1,Circus performer; Comedian; Entertainer; Performing artist; Variety artist
"$34,490",836,Female,13794,1,Mailing service hand or labourer; Rag cutter
"$34,470",837,Female,573,1,Gallery or museum guide; Museum or gallery guide
"$34,466",838,Female,1448,1,Make-up artist
"$34,380",839,Female,14,1,Sportsperson – other sports official
"$34,360",840,Female,62128,1,Receptionist – general
"$34,358",841,Female,4,1,Saw repairer; Saw sharpener
"$34,227",842,Female,68,1,Shoemaker or repairer
"$34,210",843,Female,214,1,Printing table worker
"$34,166",844,Female,1400,1,Filing clerk
"$34,117",845,Female,872,1,Artist – other visual; Craft worker
"$34,075",846,Female,97,1,Charter bus driver; Tour bus driver
"$34,065",847,Female,119,1,Footwear factory hand or labourer
"$34,039",848,Female,5,1,Apprentice or trainee – bricklayer
"$33,988",849,Female,5555,1,Pathology collector; Phlebotomist
"$33,905",850,Female,171,1,Proofreader
"$33,893",851,Female,32,1,Fellmongery hand or labourer; Tannery hand or labourer
"$33,881",852,Female,69,1,Golfer
"$33,815",853,Female,51,1,Apprentice or trainee – medical technician
"$33,778",854,Female,15,1,Disc jockey – nightclub
"$33,709",855,Female,166,1,Diver (open water)
"$33,653",856,Female,17,1,Apprentice or trainee – telecommunications technical specialist
"$33,645",857,Female,44,1,Cotton grower
"$33,622",858,Female,510,1,Greenkeeper; Groundsperson; Horticulturist – greenkeeping
"$33,620",859,Female,127,1,Apprentice or trainee – tourism and travel adviser
"$33,607",860,Female,5099,1,Family day care worker
"$33,584",861,Female,164,1,Knitting machine operator
"$33,574",862,Female,56,1,Motion picture projectionist
"$33,459",863,Female,170,1,Judge – horse or dog racing; Racecourse official; Steward – racing
"$33,436",864,Female,2534,1,Cake decorator; Pastry cook
"$33,309",865,Female,963,1,Poultry farm hand
"$33,286",866,Female,1102,1,TAB clerk
"$33,245",867,Female,240,1,Apprentice or trainee – financial services
"$33,234",868,Female,30,1,Yarn carding and spinning machine operator
"$33,232",869,Female,271,1,Car park attendant
"$33,173",870,Female,53,1,Glazier
"$33,149",871,Female,702,1,Dark room attendant; Photographic developer and printer; Photographic laboratory assistant
"$33,103",872,Female,216,1,Call centre operator – betting; Contact centre operator – betting
"$33,034",873,Female,47,1,Mechanic’s assistant
"$33,014",874,Female,63803,1,School services officer; Teacher’s aide
"$33,007",875,Female,95,1,Hostel parent
"$32,961",876,Female,183,1,Meter reader
"$32,934",877,Female,5,1,Apprentice or trainee – plasterer
"$32,896",878,Female,19,1,Linemarker
"$32,885",879,Female,619,1,House painter; Painter and decorator; Paperhanger
"$32,841",880,Female,4,1,Cyclist
"$32,819",881,Female,1506,1,Rental salesperson
"$32,772",882,Female,802,1,Horse breaker or trainer; Stable manager
"$32,766",883,Female,34,1,Motor vehicle trimmer
"$32,761",884,Female,13,1,Goat farmer or farm overseer
"$32,745",885,Female,6,1,Apprentice or trainee – performing arts technician
"$32,736",886,Female,38,1,Apprentice or trainee – signwriter
"$32,633",887,Female,5448,1,Curtain maker; Sewing machinist; Textile sewing machinist
"$32,619",888,Female,1021,1,Caretaker; Janitor
"$32,544",889,Female,55,1,"Carpet layer; Floor finisher; Floor sander and polisher; Floor tile layer – carpet, lino or cork"
"$32,523",890,Female,273,1,Picture framer
"$32,519",891,Female,75,1,Apprentice or trainee – printer or graphic artist
"$32,510",892,Female,28,1,Musical instrument repairer; Piano tuner
"$32,462",893,Female,5475,1,Hotel receptionist; Motel receptionist
"$32,435",894,Female,41,1,Footballer; Soccer player
"$32,366",895,Female,1700,1,Diversional therapist
"$32,328",896,Female,20,1,Sign erector
"$32,300",897,Female,89,1,Cash van salesperson
"$32,257",898,Female,6882,1,Laundry worker
"$32,202",899,Female,1014,1,Drycleaner
"$32,138",900,Female,2653,1,Newspaper photographer; Photographer
"$32,132",901,Female,36,1,Homeopath
"$32,056",902,Female,2097,1,Ballet teacher; Dance teacher – private
"$32,044",903,Female,103676,1,Aged or disabled carer; Home companion; Respite carer
"$32,020",904,Female,219,1,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer
"$31,993",905,Female,1528,1,Physio assistant
"$31,964",906,Female,59,1,Apprentice or trainee – jeweller
"$31,906",907,Female,2434,1,Garage attendant; Service station attendant
"$31,904",908,Female,2803,1,Animal attendant; Animal trainer (not dog or horse)
"$31,877",909,Female,20543,1,Chimney sweep; Cleaner – other; Detailer – aircraft
"$31,876",910,Female,726,1,Dog handler or trainer
"$31,840",911,Female,609,1,Choreographer; Dancer; Stripper – entertainment
"$31,723",912,Female,110,1,Apprentice or trainee – butcher
"$31,696",913,Female,13529,1,Merchandiser; Sales demonstrator
"$31,682",914,Female,672,1,Classer – fruit and vegetable; Egg grader; Product grader
"$31,639",915,Female,18233,1,Casino worker – host; Hospitality employee – other
"$31,589",916,Female,261,1,Chauffeur; Hire car driver
"$31,574",917,Female,14,1,Apprentice or trainee – airconditioning and refrigeration mechanic
"$31,497",918,Female,86,1,Plasterer
"$31,428",919,Female,90620,1,Child care aide or worker; Creche attendant
"$31,411",920,Female,1521,1,Tourist guide
"$31,379",921,Female,20,1,Apprentice or trainee – aircraft maintenance engineer
"$31,360",922,Female,3886,1,Delivery driver; Pizza deliverer; Taxi-truck driver; Van driver
"$31,358",923,Female,9978,1,Aerobics instructor; Fitness instructor; Gym instructor
"$31,276",924,Female,23685,1,Order clerk; Sales clerk
"$31,268",925,Female,425,1,Bouncer; Crowd controller
"$31,215",926,Female,355,1,Grain mill worker; Miller – flour or grain
"$31,169",927,Female,17541,1,Cook Skilled animal and
"$31,161",928,Female,8360,1,Stagehand; Studio hand; Trades assistant
"$31,146",929,Female,18701,1,Personal care assistant
"$31,065",930,Female,147,1,Bingo caller; Keno terminal operator
"$30,992",931,Female,12110,1,Packer – other
"$30,942",932,Female,53,1,Apprentice or trainee – animal attendant
"$30,904",933,Female,58,1,Leather goods maker
"$30,904",934,Female,156,1,Container filler
"$30,753",935,Female,286,1,Apprentice or trainee – health and welfare support services
"$30,746",936,Female,10,1,Apprentice or trainee – upholsterer
"$30,690",937,Female,1529,1,Car detailer; Car wash attendant; Detailer – vehicle
"$30,686",938,Female,1706,1,Sports coach – other; Sports instructor – other
"$30,599",939,Female,44,1,French polisher; Furniture finisher
"$30,567",940,Female,1038,1,Cellarhand – winery; Winery cellarhand
"$30,433",941,Female,327,1,Wool classer
"$30,339",942,Female,3418,1,Nursery assistant – horticulture; Nursery hand – plants
"$30,323",943,Female,30011,1,Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser
"$30,243",944,Female,246,1,Tennis coach
"$30,219",945,Female,14,1,Motorcycle mechanic
"$30,132",946,Female,11,1,Apprentice or trainee – telecommunications tradesperson
"$30,108",947,Female,83,1,Apprentice or trainee – automotive Apprentice or trainee – other
"$30,065",948,Female,3,1,Apprentice or trainee – forestry
"$30,025",949,Female,186,1,Body artist; Body piercer; Tattooist
"$30,009",950,Female,373,1,Photographic studio assistant
"$29,987",951,Female,31601,1,Chemist shop assistant; Pharmacy assistant
